,0
15,0.0
16,0.0
17,0.0
18,0.0
19,2400.0
20,2400.0
21,2400.0
22,774.0
23,492.0
0,522.0
1,444.0
2,438.0
3,468.0
4,498.0
5,222.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,2400.0
20,2400.0
21,2400.0
22,732.0
23,552.0
0,510.0
1,462.0
2,372.0
3,492.0
4,486.0
5,192.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,2400.0
20,2400.0
21,2400.0
22,678.0
23,504.0
0,408.0
1,426.0
2,426.0
3,426.0
4,462.0
5,204.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,2400.0
20,2400.0
21,2400.0
22,606.0
23,540.0
0,480.0
1,474.0
2,462.0
3,486.0
4,486.0
5,192.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,2400.0
20,2400.0
21,2400.0
22,672.0
23,564.0
0,504.0
1,432.0
2,438.0
3,492.0
4,486.0
5,252.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,2400.0
20,2400.0
21,2400.0
22,612.0
23,492.0
0,540.0
1,456.0
2,504.0
3,390.0
4,480.0
5,246.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,12.0
19,2400.0
20,2400.0
21,2400.0
22,780.0
23,522.0
0,468.0
1,510.0
2,474.0
3,420.0
4,456.0
5,258.0
6,6.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,48.0
19,2400.0
20,2400.0
21,2400.0
22,876.0
23,426.0
0,498.0
1,450.0
2,426.0
3,504.0
4,444.0
5,228.0
6,6.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,84.0
19,2400.0
20,2400.0
21,2400.0
22,762.0
23,480.0
0,444.0
1,498.0
2,426.0
3,492.0
4,534.0
5,258.0
6,12.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,90.0
19,2400.0
20,2400.0
21,2400.0
22,774.0
23,492.0
0,486.0
1,516.0
2,492.0
3,444.0
4,420.0
5,264.0
6,42.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,120.0
19,2400.0
20,2400.0
21,2400.0
22,744.0
23,504.0
0,564.0
1,558.0
2,468.0
3,330.0
4,450.0
5,216.0
6,48.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,156.0
19,2400.0
20,2400.0
21,2400.0
22,738.0
23,480.0
0,516.0
1,438.0
2,462.0
3,420.0
4,528.0
5,216.0
6,90.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,144.0
19,2400.0
20,2400.0
21,2400.0
22,708.0
23,462.0
0,570.0
1,504.0
2,522.0
3,426.0
4,480.0
5,240.0
6,90.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,222.0
19,2400.0
20,2400.0
21,2400.0
22,810.0
23,456.0
0,480.0
1,474.0
2,432.0
3,450.0
4,438.0
5,234.0
6,60.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,240.0
19,2400.0
20,2400.0
21,2400.0
22,708.0
23,462.0
0,462.0
1,486.0
2,540.0
3,480.0
4,528.0
5,246.0
6,60.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,252.0
19,2400.0
20,2400.0
21,2400.0
22,762.0
23,540.0
0,540.0
1,492.0
2,510.0
3,504.0
4,492.0
5,294.0
6,108.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,174.0
19,2400.0
20,2400.0
21,2400.0
22,720.0
23,498.0
0,420.0
1,450.0
2,486.0
3,522.0
4,504.0
5,198.0
6,72.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,198.0
19,2400.0
20,2400.0
21,2400.0
22,762.0
23,462.0
0,504.0
1,504.0
2,528.0
3,546.0
4,426.0
5,234.0
6,96.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,282.0
19,2400.0
20,2400.0
21,2400.0
22,732.0
23,552.0
0,492.0
1,564.0
2,438.0
3,504.0
4,546.0
5,234.0
6,102.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,330.0
19,2400.0
20,2400.0
21,2400.0
22,828.0
23,456.0
0,438.0
1,498.0
2,450.0
3,522.0
4,480.0
5,240.0
6,102.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,378.0
19,2400.0
20,2400.0
21,2400.0
22,726.0
23,456.0
0,420.0
1,498.0
2,528.0
3,510.0
4,474.0
5,252.0
6,114.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,324.0
19,2400.0
20,2400.0
21,2400.0
22,828.0
23,426.0
0,450.0
1,480.0
2,468.0
3,522.0
4,480.0
5,270.0
6,138.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,276.0
19,2400.0
20,2400.0
21,2400.0
22,696.0
23,426.0
0,534.0
1,414.0
2,564.0
3,546.0
4,492.0
5,288.0
6,174.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,444.0
19,2400.0
20,2400.0
21,2400.0
22,678.0
23,444.0
0,420.0
1,408.0
2,438.0
3,414.0
4,456.0
5,216.0
6,228.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,522.0
19,2400.0
20,2400.0
21,2400.0
22,792.0
23,456.0
0,462.0
1,438.0
2,486.0
3,504.0
4,486.0
5,240.0
6,126.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,396.0
19,2400.0
20,2400.0
21,2400.0
22,684.0
23,492.0
0,474.0
1,570.0
2,474.0
3,528.0
4,444.0
5,204.0
6,192.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,486.0
19,2400.0
20,2400.0
21,2400.0
22,720.0
23,438.0
0,480.0
1,474.0
2,462.0
3,468.0
4,594.0
5,300.0
6,162.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,498.0
19,2400.0
20,2400.0
21,2400.0
22,648.0
23,480.0
0,540.0
1,420.0
2,480.0
3,498.0
4,474.0
5,270.0
6,162.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,504.0
19,2400.0
20,2400.0
21,2400.0
22,774.0
23,492.0
0,426.0
1,540.0
2,504.0
3,492.0
4,462.0
5,174.0
6,144.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,510.0
19,2400.0
20,2400.0
21,2400.0
22,672.0
23,474.0
0,522.0
1,492.0
2,456.0
3,468.0
4,468.0
5,186.0
6,180.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,498.0
19,2400.0
20,2400.0
21,2400.0
22,696.0
23,414.0
0,438.0
1,426.0
2,492.0
3,450.0
4,528.0
5,210.0
6,282.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,624.0
19,2400.0
20,2400.0
21,2400.0
22,780.0
23,474.0
0,426.0
1,534.0
2,552.0
3,510.0
4,546.0
5,270.0
6,264.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,618.0
19,2400.0
20,2400.0
21,2400.0
22,630.0
23,444.0
0,420.0
1,564.0
2,474.0
3,546.0
4,504.0
5,276.0
6,276.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,588.0
19,2400.0
20,2400.0
21,2400.0
22,684.0
23,420.0
0,498.0
1,498.0
2,540.0
3,492.0
4,516.0
5,276.0
6,138.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,630.0
19,2400.0
20,2400.0
21,2400.0
22,750.0
23,558.0
0,528.0
1,426.0
2,480.0
3,444.0
4,366.0
5,270.0
6,186.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,672.0
19,2400.0
20,2400.0
21,2400.0
22,690.0
23,438.0
0,522.0
1,504.0
2,456.0
3,462.0
4,492.0
5,258.0
6,252.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,720.0
19,2400.0
20,2400.0
21,2400.0
22,726.0
23,504.0
0,492.0
1,576.0
2,504.0
3,408.0
4,438.0
5,258.0
6,270.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,762.0
19,2400.0
20,2400.0
21,2400.0
22,738.0
23,474.0
0,354.0
1,414.0
2,444.0
3,522.0
4,486.0
5,204.0
6,252.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,702.0
19,2400.0
20,2400.0
21,2400.0
22,708.0
23,438.0
0,498.0
1,432.0
2,390.0
3,480.0
4,486.0
5,210.0
6,276.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,636.0
19,2400.0
20,2400.0
21,2400.0
22,612.0
23,504.0
0,510.0
1,486.0
2,456.0
3,486.0
4,510.0
5,210.0
6,294.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,786.0
19,2400.0
20,2400.0
21,2400.0
22,732.0
23,474.0
0,414.0
1,462.0
2,516.0
3,486.0
4,486.0
5,180.0
6,288.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,684.0
19,2400.0
20,2400.0
21,2400.0
22,732.0
23,504.0
0,492.0
1,528.0
2,366.0
3,462.0
4,420.0
5,228.0
6,180.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,756.0
19,2400.0
20,2400.0
21,2400.0
22,576.0
23,492.0
0,534.0
1,504.0
2,510.0
3,462.0
4,462.0
5,222.0
6,246.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,768.0
19,2400.0
20,2400.0
21,2400.0
22,660.0
23,474.0
0,486.0
1,408.0
2,462.0
3,414.0
4,534.0
5,204.0
6,246.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,756.0
19,2400.0
20,2400.0
21,2400.0
22,840.0
23,414.0
0,534.0
1,516.0
2,492.0
3,522.0
4,534.0
5,300.0
6,240.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,756.0
19,2400.0
20,2400.0
21,2400.0
22,666.0
23,504.0
0,552.0
1,540.0
2,480.0
3,474.0
4,540.0
5,240.0
6,234.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,768.0
19,2400.0
20,2400.0
21,2400.0
22,732.0
23,444.0
0,522.0
1,396.0
2,450.0
3,456.0
4,480.0
5,222.0
6,246.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,762.0
19,2400.0
20,2400.0
21,2400.0
22,702.0
23,474.0
0,444.0
1,456.0
2,480.0
3,444.0
4,480.0
5,222.0
6,288.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,750.0
19,2400.0
20,2400.0
21,2400.0
22,684.0
23,474.0
0,444.0
1,540.0
2,474.0
3,444.0
4,444.0
5,240.0
6,252.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,834.0
19,2400.0
20,2400.0
21,2400.0
22,690.0
23,486.0
0,480.0
1,510.0
2,558.0
3,444.0
4,486.0
5,234.0
6,222.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,840.0
19,2400.0
20,2400.0
21,2400.0
22,762.0
23,540.0
0,456.0
1,432.0
2,450.0
3,504.0
4,426.0
5,246.0
6,246.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,696.0
19,2400.0
20,2400.0
21,2400.0
22,726.0
23,558.0
0,546.0
1,504.0
2,510.0
3,438.0
4,492.0
5,282.0
6,222.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,726.0
19,2400.0
20,2400.0
21,2400.0
22,588.0
23,504.0
0,534.0
1,504.0
2,444.0
3,414.0
4,438.0
5,276.0
6,282.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,702.0
19,2400.0
20,2400.0
21,2400.0
22,714.0
23,480.0
0,504.0
1,540.0
2,582.0
3,438.0
4,546.0
5,222.0
6,204.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,756.0
19,2400.0
20,2400.0
21,2400.0
22,678.0
23,474.0
0,540.0
1,564.0
2,450.0
3,480.0
4,474.0
5,210.0
6,198.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,660.0
19,2400.0
20,2400.0
21,2400.0
22,786.0
23,450.0
0,492.0
1,402.0
2,426.0
3,426.0
4,444.0
5,264.0
6,246.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,630.0
19,2400.0
20,2400.0
21,2400.0
22,732.0
23,432.0
0,480.0
1,486.0
2,474.0
3,480.0
4,504.0
5,240.0
6,270.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,684.0
19,2400.0
20,2400.0
21,2400.0
22,696.0
23,456.0
0,492.0
1,504.0
2,468.0
3,444.0
4,594.0
5,186.0
6,180.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,732.0
19,2400.0
20,2400.0
21,2400.0
22,822.0
23,450.0
0,432.0
1,480.0
2,438.0
3,468.0
4,504.0
5,228.0
6,240.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,798.0
19,2400.0
20,2400.0
21,2400.0
22,648.0
23,486.0
0,492.0
1,498.0
2,552.0
3,552.0
4,498.0
5,342.0
6,198.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,684.0
19,2400.0
20,2400.0
21,2400.0
22,828.0
23,456.0
0,474.0
1,438.0
2,444.0
3,486.0
4,486.0
5,228.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,714.0
19,2400.0
20,2400.0
21,2400.0
22,606.0
23,450.0
0,486.0
1,480.0
2,492.0
3,474.0
4,576.0
5,210.0
6,204.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,714.0
19,2400.0
20,2400.0
21,2400.0
22,672.0
23,474.0
0,480.0
1,516.0
2,444.0
3,468.0
4,432.0
5,198.0
6,252.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,726.0
19,2400.0
20,2400.0
21,2400.0
22,822.0
23,474.0
0,444.0
1,444.0
2,450.0
3,468.0
4,426.0
5,234.0
6,264.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,714.0
19,2400.0
20,2400.0
21,2400.0
22,780.0
23,516.0
0,456.0
1,432.0
2,522.0
3,384.0
4,456.0
5,216.0
6,222.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,624.0
19,2400.0
20,2400.0
21,2400.0
22,666.0
23,408.0
0,498.0
1,552.0
2,558.0
3,408.0
4,516.0
5,216.0
6,282.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,714.0
19,2400.0
20,2400.0
21,2400.0
22,762.0
23,474.0
0,480.0
1,480.0
2,492.0
3,444.0
4,588.0
5,258.0
6,240.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,756.0
19,2400.0
20,2400.0
21,2400.0
22,600.0
23,462.0
0,540.0
1,456.0
2,498.0
3,516.0
4,516.0
5,258.0
6,264.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,792.0
19,2400.0
20,2400.0
21,2400.0
22,774.0
23,420.0
0,408.0
1,468.0
2,516.0
3,558.0
4,474.0
5,258.0
6,216.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,768.0
19,2400.0
20,2400.0
21,2400.0
22,672.0
23,456.0
0,516.0
1,534.0
2,522.0
3,366.0
4,456.0
5,270.0
6,234.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,600.0
19,2400.0
20,2400.0
21,2400.0
22,828.0
23,534.0
0,438.0
1,486.0
2,402.0
3,438.0
4,438.0
5,240.0
6,264.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,792.0
19,2400.0
20,2400.0
21,2400.0
22,696.0
23,510.0
0,492.0
1,516.0
2,540.0
3,462.0
4,522.0
5,234.0
6,234.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,738.0
19,2400.0
20,2400.0
21,2400.0
22,666.0
23,624.0
0,420.0
1,498.0
2,456.0
3,534.0
4,492.0
5,234.0
6,162.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,642.0
19,2400.0
20,2400.0
21,2400.0
22,702.0
23,438.0
0,474.0
1,480.0
2,468.0
3,474.0
4,546.0
5,324.0
6,198.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,672.0
19,2400.0
20,2400.0
21,2400.0
22,786.0
23,384.0
0,396.0
1,516.0
2,516.0
3,402.0
4,420.0
5,270.0
6,252.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,798.0
19,2400.0
20,2400.0
21,2400.0
22,648.0
23,504.0
0,462.0
1,462.0
2,498.0
3,498.0
4,492.0
5,222.0
6,288.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,780.0
19,2400.0
20,2400.0
21,2400.0
22,624.0
23,498.0
0,504.0
1,486.0
2,450.0
3,540.0
4,570.0
5,234.0
6,240.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,684.0
19,2400.0
20,2400.0
21,2400.0
22,642.0
23,504.0
0,486.0
1,390.0
2,510.0
3,492.0
4,540.0
5,240.0
6,216.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,678.0
19,2400.0
20,2400.0
21,2400.0
22,654.0
23,420.0
0,528.0
1,522.0
2,450.0
3,570.0
4,456.0
5,288.0
6,240.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,720.0
19,2400.0
20,2400.0
21,2400.0
22,648.0
23,516.0
0,474.0
1,360.0
2,426.0
3,426.0
4,492.0
5,312.0
6,228.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,678.0
19,2400.0
20,2400.0
21,2400.0
22,672.0
23,486.0
0,456.0
1,510.0
2,438.0
3,582.0
4,522.0
5,246.0
6,264.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,750.0
19,2400.0
20,2400.0
21,2400.0
22,678.0
23,432.0
0,510.0
1,516.0
2,564.0
3,486.0
4,450.0
5,216.0
6,264.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,684.0
19,2400.0
20,2400.0
21,2400.0
22,756.0
23,528.0
0,498.0
1,432.0
2,432.0
3,420.0
4,540.0
5,198.0
6,282.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,690.0
19,2400.0
20,2400.0
21,2400.0
22,732.0
23,348.0
0,480.0
1,390.0
2,474.0
3,540.0
4,468.0
5,228.0
6,270.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,708.0
19,2400.0
20,2400.0
21,2400.0
22,720.0
23,456.0
0,474.0
1,606.0
2,480.0
3,534.0
4,414.0
5,258.0
6,204.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,642.0
19,2400.0
20,2400.0
21,2400.0
22,762.0
23,390.0
0,462.0
1,492.0
2,420.0
3,444.0
4,420.0
5,252.0
6,234.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,756.0
19,2400.0
20,2400.0
21,2400.0
22,792.0
23,582.0
0,438.0
1,426.0
2,528.0
3,456.0
4,498.0
5,216.0
6,186.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,678.0
19,2400.0
20,2400.0
21,2400.0
22,744.0
23,468.0
0,444.0
1,546.0
2,480.0
3,438.0
4,492.0
5,210.0
6,264.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,816.0
19,2400.0
20,2400.0
21,2400.0
22,672.0
23,504.0
0,432.0
1,450.0
2,414.0
3,474.0
4,444.0
5,246.0
6,228.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,648.0
19,2400.0
20,2400.0
21,2400.0
22,696.0
23,450.0
0,534.0
1,582.0
2,468.0
3,486.0
4,384.0
5,252.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,666.0
19,2400.0
20,2400.0
21,2400.0
22,684.0
23,486.0
0,480.0
1,480.0
2,408.0
3,438.0
4,588.0
5,258.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,738.0
19,2400.0
20,2400.0
21,2400.0
22,690.0
23,498.0
0,570.0
1,486.0
2,582.0
3,540.0
4,456.0
5,192.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,690.0
19,2400.0
20,2400.0
21,2400.0
22,660.0
23,516.0
0,534.0
1,372.0
2,540.0
3,468.0
4,474.0
5,198.0
6,210.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,750.0
19,2400.0
20,2400.0
21,2400.0
22,684.0
23,534.0
0,546.0
1,528.0
2,570.0
3,498.0
4,378.0
5,186.0
6,234.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,750.0
19,2400.0
20,2400.0
21,2400.0
22,726.0
23,438.0
0,534.0
1,492.0
2,480.0
3,450.0
4,498.0
5,228.0
6,246.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,846.0
19,2400.0
